event_id_cnty,event_date,state_clean,location,event_type,notes_short,fatalities,kidnapped_count,fatalities_combatants,fatalities_security_forces,fatalities_civilians,civilian_targeting,is_duplicate,corrected_kidnapped_count,corrected_fatalities,corrected_combatants,corrected_security,corrected_civilians,corrected_duplicate,review_note
NIG12828,2018-07-20,Borno,Bama,Strategic developments,"Movement of forces: 20 July. Military forces deploy a brigade (around 3,000 soldiers) to Bama LGA following the recent v...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG14064,2018-07-20,Borno,Bama,Explosions/Remote violence,"20 July. Nigerian air force conduct aerial strikes on Boko Haram forces in Yuwe of Bama LGA in Borno, killing at least 2...",40,0.0,0.0,0.0,40.0,No,No,,,,,,,
NIG12829,2018-07-21,Borno,Kukawa,Explosions/Remote violence,"21 July. Air forces killed several Boko Haram fighters in the area surrounding Bulagalaye, Kwakwa. Exact figures not kno...",10,0.0,5.0,0.0,5.0,No,No,,,,,,,
NIG12860,2018-07-22,Delta,Ughelli,Protests,22 July. Ex-oil militants protest that Ughelli North headquarters against the alleged plan to cancel the OML 30 surveill...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG14066,2018-07-22,Kaduna,Jere,Battles,"22 July. An unidentified armed group and Nigerian military forces clash between Jere and Kateri, killing 3 civilians and...",4,0.0,0.0,0.0,4.0,No,No,,,,,,,
NIG12859,2018-07-22,Yobe,Sasawa Kabaru,Battles,"22 July, on or about. Military forces suffered an unknown number of causalities while countering a Boko Haram ambush at ...",10,0.0,0.0,0.0,10.0,No,No,,,,,,,
NIG12862,2018-07-23,Anambra,Awka,Protests,"23 July. Students of Nnamdi Azikiwe University, Awka, took to the streets to protest the death of their colleagues due t...",0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG821,2002-01-21,Katsina,Danja,Riots,Rioters in Danja,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12863,2018-07-23,Delta,Ughelli,Protests,23 July. Youths protest in Ughelli over an alleged Delta state plan to remove them from their jobs.,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
NIG12865,2018-07-23,Imo,Owerri,Protests,23 July. Members of the Nigeria Bar Association staged a protest over police invasion of the Ngor Okpala Magistrate and ...,0,0.0,0.0,0.0,0.0,No,No,,,,,,,
